audiofile,framedurationms,kbitspersecond,pesq,stoi
mic_F01_sa1,10,32,4.132854461669922,0.9928905952735291
mic_F01_sa1,10,240,4.64384651184082,0.9999999612455401
mic_F01_sa2,10,32,4.199315071105957,0.9918144736553065
mic_F01_sa2,10,240,4.643882751464844,0.9999999830637959
mic_F01_si453,10,32,3.75677227973938,0.9911160118723829
mic_F01_si453,10,240,4.643789291381836,0.9999999771152659
mic_F01_si454,10,32,4.303920269012451,0.9915553120137595
mic_F01_si454,10,240,4.643856525421143,0.9999999741972924
mic_F01_si455,10,32,4.30780029296875,0.9922235740894715
mic_F01_si455,10,240,4.643420219421387,0.9999999683543739
mic_F07_sa1,10,32,4.15715217590332,0.9883272235975586
mic_F07_sa1,10,240,4.643801689147949,0.9999999684336792
mic_F07_sa2,10,32,4.101480484008789,0.9842663329911664
mic_F07_sa2,10,240,4.643887519836426,0.9999999492456968
mic_F07_si1587,10,32,4.332550525665283,0.9904730061680822
mic_F07_si1587,10,240,4.643888473510742,0.9999999713961424
mic_F07_si1588,10,32,4.288154602050781,0.9910786532753062
mic_F07_si1588,10,240,4.643880367279053,0.9999999745604544
mic_F07_si1589,10,32,4.250121593475342,0.9872315724727244
mic_F07_si1589,10,240,4.643839359283447,0.9999999434414404
mic_M01_sa1,10,32,4.362069129943848,0.9893527760023652
mic_M01_sa1,10,240,4.643888473510742,0.9999999765689819
mic_M01_sa2,10,32,4.194507598876953,0.9842724273210262
mic_M01_sa2,10,240,4.643888473510742,0.9999999421486989
mic_M01_si453,10,32,4.16845178604126,0.9882973294108904
mic_M01_si453,10,240,4.643888473510742,0.9999999701641797
mic_M01_si454,10,32,4.3452887535095215,0.9901320384716682
mic_M01_si454,10,240,4.643888473510742,0.9999999642938354
mic_M01_si455,10,32,4.429697513580322,0.9909514981549943
mic_M01_si455,10,240,4.643888473510742,0.9999999759128404
mic_M05_sa1,10,32,4.419748306274414,0.9914643449606545
mic_M05_sa1,10,240,4.643888473510742,0.9999999665420076
mic_M05_sa2,10,32,4.4805588722229,0.9918651812598462
mic_M05_sa2,10,240,4.643888473510742,0.9999999650169535
mic_M05_si1209,10,32,4.294599533081055,0.9911877666757414
mic_M05_si1209,10,240,4.643888473510742,0.9999999708394026
mic_M05_si1210,10,32,4.3902788162231445,0.9904128550831965
mic_M05_si1210,10,240,4.643888473510742,0.9999999502186775
mic_M05_si1211,10,32,4.30217170715332,0.9901612845396357
mic_M05_si1211,10,240,4.643822193145752,0.99999995802333
